date,open,high,low,close,volume
2015-10-19,42.2706,42.7611,42.136,42.4726,1348630
2015-10-20,42.5207,42.6072,42.1167,42.3187,985034
2015-10-21,42.6168,42.8284,41.8666,42.035,711751
2015-10-22,42.2706,43.1843,42.2129,43.1651,929078
2015-10-23,43.8287,44.2423,42.814,43.117,752460
2015-10-26,43.0881,43.1073,42.4918,42.6361,744269
2015-10-27,42.5688,43.1651,42.2225,42.5591,609381
2015-10-28,42.5591,43.1554,42.1456,43.1458,647728
2015-10-29,43.2132,43.7613,42.6265,43.0304,847220
2015-10-30,43.1843,43.3334,42.9689,42.9823,684699
2015-11-02,43.1362,43.2805,42.2417,42.9342,1528758
2015-11-03,42.9054,43.0881,42.5303,42.7611,1709821
2015-11-04,42.3668,44.7039,41.9917,44.1749,2035105
2015-11-05,44.3865,44.6174,43.9922,44.4923,1033708
2015-11-06,44.6366,45.1271,41.8666,41.9532,3602183
2015-11-09,41.9532,42.2514,41.0203,41.1261,1769257
2015-11-10,41.1934,41.4435,40.5875,41.2992,1922954
2015-11-11,41.7705,42.0484,40.9145,41.3569,1356700
2015-11-12,41.3088,41.5973,40.9145,40.9818,1012181
2015-11-13,40.8375,41.0587,40.2893,40.347,1456984
2015-11-16,40.2989,41.1165,40.2989,41.0491,1405624
2015-11-17,41.4146,42.4793,41.1645,42.4053,1408288
2015-11-18,42.8092,43.1747,42.0302,42.463,1644467
2015-11-19,42.5207,43.5594,42.463,43.4728,1166343
2015-11-20,43.694,43.9922,43.2372,43.3767,970532
2015-11-23,43.5382,43.8081,42.9597,43.2489,1561952
2015-11-24,41.986,42.7476,41.8414,42.5644,4380002
2015-11-25,42.5644,42.844,42.2656,42.6319,1793954
2015-11-27,42.7958,42.8537,42.442,42.5644,703992
2015-11-30,42.6898,42.7717,41.61,41.6196,7477089
2015-12-01,42.362,42.6512,42.121,42.5837,1764049
2015-12-02,42.4487,42.709,41.9474,42.0535,1251943
2015-12-03,42.227,42.7187,41.6389,41.9089,1136449
2015-12-04,41.8703,43.0465,41.5714,43.0176,1993451
2015-12-07,42.738,43.085,42.2219,42.5162,977530
2015-12-08,41.9763,42.7862,41.9763,42.709,1005195
2015-12-09,42.468,43.0479,41.7932,41.9474,1438284
2015-12-10,41.8992,42.6223,41.8992,42.28,855835
2015-12-11,41.8992,42.1258,41.2436,41.2822,784990
2015-12-14,41.1472,41.6534,40.8291,41.1472,854318
2015-12-15,41.2822,42.0197,41.1472,41.5811,1107401
2015-12-16,41.9667,42.4574,41.9137,42.2174,1028278
2015-12-17,42.4198,42.4198,40.9544,41.1569,896725
2015-12-18,41.2726,41.9667,40.5495,40.8869,2337458
2015-12-21,41.3015,41.4557,40.3374,40.8194,789612
2015-12-22,40.8194,41.3882,40.1446,41.2629,634896
2015-12-23,41.3111,41.3786,40.8291,41.234,545757
2015-12-24,41.099,41.5136,41.099,41.4172,243393
2015-12-28,41.1376,41.6582,40.5688,40.9448,504857
2015-12-29,41.1472,41.8462,41.0894,41.7835,624589
2015-12-30,41.5811,41.9281,41.4075,41.6871,400611
2015-12-31,41.5136,41.6196,40.5013,40.5302,718317
2016-01-04,39.9228,39.9325,39.0359,39.4794,889986
2016-01-05,39.6047,39.8361,39.3058,39.4601,812143
2016-01-06,38.9009,39.7975,38.7563,39.7686,952020
2016-01-07,39.007,39.1371,38.0521,38.2646,1384057
2016-01-08,38.6502,38.6965,38.0525,38.226,1193314
2016-01-11,38.3225,38.8141,38.1108,38.4092,1502697
2016-01-12,38.872,38.9009,38.226,38.6984,993542
2016-01-13,38.7756,38.7756,36.4521,36.5871,1653033
2016-01-14,36.481,36.905,35.6712,36.4618,1814190
2016-01-15,35.488,36.0858,35.0542,35.758,2005989
2016-01-19,36.1243,36.9872,35.4495,35.9026,1222165
2016-01-20,35.3241,36.2882,34.4757,35.7194,1416696
2016-01-21,35.9797,36.9149,34.8242,36.2786,1166895
2016-01-22,36.7896,37.3102,36.4907,36.9727,1294326
2016-01-25,36.992,37.2668,36.5678,36.5871,901602
2016-01-26,36.8474,37.368,36.5196,37.0402,810300
2016-01-27,36.9149,37.0595,36.0279,36.3075,628314
2016-01-28,36.4618,36.7992,35.8255,35.9701,1101885
2016-01-29,36.1725,37.127,36.1725,37.0691,1134583
2016-02-01,36.7896,37.2436,36.6449,36.8185,1536455
2016-02-02,36.6739,37.3005,35.8327,36.0086,1208704
2016-02-03,36.1822,36.6931,35.5748,36.1725,1068429
2016-02-04,36.1822,36.7269,35.9508,36.2593,947393
2016-02-05,36.134,36.5678,34.6396,34.9192,2205797
2016-02-08,34.5336,34.707,33.449,34.0419,2500206
2016-02-09,30.3495,34.6878,29.3082,34.1383,2840112
2016-02-10,34.0901,34.5722,32.9332,33.5117,1882709
2016-02-11,32.8464,33.4586,32.2776,32.4801,2230711
2016-02-12,33.02,33.4779,32.6054,33.0778,930078
2016-02-16,33.5599,35.2615,33.4056,34.9578,1699112
2016-02-17,35.1699,36.0665,34.736,35.7965,1073338
2016-02-18,36.0086,37.0981,36.0086,36.1725,1558150
2016-02-19,36.2207,36.9438,35.864,36.8281,1153273
2016-02-22,37.1366,37.6765,37.1366,37.5608,992581
2016-02-23,37.5391,38.3221,37.22,37.4521,977943
